cluster_id,guests_mean,guests_median,guests_count,bedrooms_mean,bedrooms_median,bedrooms_count,baths_mean,baths_median,baths_count,cleaning_fee_mean,cleaning_fee_median,cleaning_fee_count,num_reviews_x_mean,num_reviews_x_median,num_reviews_x_count,rating_overall_mean,rating_overall_median,rating_overall_count,superhost_mean,superhost_median,superhost_count,professional_management_mean,professional_management_median,professional_management_count,ttm_avg_rate_mean,ttm_avg_rate_median,ttm_avg_rate_count,ttm_occupancy_mean,ttm_occupancy_median,ttm_occupancy_count
0,3.5,4.0,152,1.4474,1.0,152,1.1349,1.0,152,73.3947,80.0,152,262.2961,205.0,152,4.8675,4.89,152,0.7961,1.0,152,0.1974,0.0,152,147.6928,143.35,152,0.4692,0.478,152
1,7.5735,6.5,68,3.2794,3.0,68,2.4559,2.5,68,150.6912,150.0,68,152.8824,117.0,68,4.8262,4.845,68,0.5588,1.0,68,0.1618,0.0,68,288.5603,228.05,68,0.3435,0.3685,68
