total_units,stable_core_units,premium_upside_units,premium_share,expected_ttm_revenue,expected_annual_volatility,risk_adjusted_score,portfolio_adr,portfolio_occupancy,portfolio_revpar,expected_off_peak_revenue
15,15,0,0.0,425213.8815,20192.3217,21.0582,147.6928,0.4692,70.6836,239371.56
15,14,1,0.0667,437376.0835,21311.025,20.5235,157.084,0.4608,72.5954,245077.95
15,13,2,0.1333,449538.2855,22373.8624,20.0921,166.4751,0.4524,74.5072,250784.34
15,12,3,0.2,461700.4875,23388.4512,19.7405,175.8663,0.4441,76.4189,256490.73
15,11,4,0.2667,473862.6895,24360.8205,19.4518,185.2575,0.4357,78.3307,262197.12
15,10,5,0.3333,486024.8915,25295.8397,19.2136,194.6486,0.4273,80.2425,267903.51
15,9,6,0.4,498187.0935,26197.5082,19.0166,204.0398,0.4189,82.1543,273609.9
15,8,7,0.4667,510349.2955,27069.159,18.8535,213.431,0.4105,84.0661,279316.29
15,7,8,0.5333,522511.4975,27913.6042,18.7189,222.8221,0.4022,85.9778,285022.68
15,6,9,0.6,534673.6995,28733.2426,18.6082,232.2133,0.3938,87.8896,290729.07
15,5,10,0.6667,546835.9015,29530.1398,18.5179,241.6045,0.3854,89.8014,296435.46
15,4,11,0.7333,558998.1035,30306.09,18.4451,250.9956,0.377,91.7132,302141.85
15,3,12,0.8,571160.3055,31062.6628,18.3874,260.3868,0.3686,93.625,307848.24
15,2,13,0.8667,583322.5075,31801.2413,18.3428,269.778,0.3603,95.5367,313554.63
15,1,14,0.9333,595484.7095,32523.0515,18.3096,279.1691,0.3519,97.4485,319261.02
15,0,15,1.0,607646.9115,33229.1861,18.2865,288.5603,0.3435,99.3603,324967.41
16,16,0,0.0,453561.4736,20854.5402,21.7488,147.6928,0.4692,70.6836,255329.664
16,15,1,0.0625,465723.6756,21939.5027,21.2276,156.497,0.4613,72.4759,261036.054
16,14,2,0.125,477885.8776,22973.2825,20.8018,165.3012,0.4535,74.2682,266742.444
16,13,3,0.1875,490048.0796,23962.5048,20.4506,174.1055,0.4456,76.0605,272448.834
16,12,4,0.25,502210.2816,24912.4782,20.159,182.9097,0.4378,77.8528,278155.224
16,11,5,0.3125,514372.4836,25827.5337,19.9157,191.7139,0.4299,79.6451,283861.614
16,10,6,0.375,526534.6856,26711.2603,19.7121,200.5181,0.4221,81.4374,289568.004
16,9,7,0.4375,538696.8876,27566.6712,19.5416,209.3223,0.4142,83.2297,295274.394
16,8,8,0.5,550859.0896,28396.3253,19.399,218.1266,0.4064,85.022,300980.784
16,7,9,0.5625,563021.2916,29202.418,19.28,226.9308,0.3985,86.8142,306687.174
16,6,10,0.625,575183.4936,29986.8496,19.1812,235.735,0.3906,88.6065,312393.564
16,5,11,0.6875,587345.6956,30751.2777,19.0999,244.5392,0.3828,90.3988,318099.954
16,4,12,0.75,599507.8976,31497.1588,19.0337,253.3434,0.3749,92.1911,323806.344
16,3,13,0.8125,611670.0996,32225.7807,18.9808,262.1476,0.3671,93.9834,329512.734
16,2,14,0.875,623832.3016,32938.2888,18.9394,270.9519,0.3592,95.7757,335219.124
16,1,15,0.9375,635994.5036,33635.7072,18.9083,279.7561,0.3514,97.568,340925.514
16,0,16,1.0,648156.7056,34318.9559,18.8863,288.5603,0.3435,99.3603,346631.904
17,17,0,0.0,481909.0657,21496.368,22.4182,147.6928,0.4692,70.6836,271287.768
17,16,1,0.0588,494071.2677,22550.4716,21.9096,155.9791,0.4618,72.3705,276994.158
17,15,2,0.1176,506233.4697,23557.4553,21.4893,164.2654,0.4544,74.0573,282700.548
17,14,3,0.1765,518395.6717,24523.1244,21.1391,172.5518,0.447,75.7442,288406.938
17,13,4,0.2353,530557.8737,25452.1818,20.8453,180.8381,0.4396,77.4311,294113.328
17,12,5,0.2941,542720.0757,26348.5007,20.5978,189.1244,0.4322,79.1179,299819.718
17,11,6,0.3529,554882.2777,27215.3159,20.3886,197.4107,0.4248,80.8048,305526.108
17,10,7,0.4118,567044.4797,28055.3622,20.2116,205.6971,0.4174,82.4917,311232.498
17,9,8,0.4706,579206.6817,28870.9764,20.0619,213.9834,0.41,84.1785,316938.888
17,8,9,0.5294,591368.8837,29664.1738,19.9355,222.2697,0.4027,85.8654,322645.278
17,7,10,0.5882,603531.0857,30436.7071,19.8291,230.556,0.3953,87.5522,328351.668
17,6,11,0.6471,615693.2877,31190.1117,19.74,238.8424,0.3879,89.2391,334058.058
17,5,12,0.7059,627855.4897,31925.742,19.6661,247.1287,0.3805,90.926,339764.448
